matrixA
1.36 	-0.42 	1.13 	1.19 	1.65 	-1.21 	-0.66 	1.07 	-0.89 	0.22 	-0.09 	0.52 	-0.54 	0.05 	
1.81 	1.66 	0.54 	0.87 	-1.43 	0.43 	-1.93 	-1.03 	-1.45 	1.22 	-1.37 	-0.40 	-1.48 	-1.56 	
2.00 	-1.13 	0.05 	1.36 	0.45 	-0.82 	0.55 	0.10 	-0.03 	1.89 	-0.83 	1.09 	0.11 	1.08 	
-0.40 	1.57 	-0.87 	-0.59 	1.23 	1.68 	-1.72 	1.80 	0.10 	-1.66 	-1.23 	0.65 	1.56 	-0.60 	
-1.74 	-1.92 	-0.17 	-1.75 	-1.05 	1.88 	1.61 	1.40 	-0.93 	0.16 	-0.50 	1.04 	0.05 	0.67 	
0.13 	-1.84 	-0.25 	1.73 	1.72 	0.88 	-0.86 	0.95 	0.56 	-0.58 	0.75 	-1.34 	-0.24 	1.52 	
1.32 	-0.68 	-1.08 	1.57 	-0.60 	0.75 	1.83 	0.35 	0.63 	1.43 	-0.24 	1.70 	-0.41 	1.26 	
0.74 	1.64 	-0.07 	-1.14 	1.80 	1.68 	-1.41 	1.52 	0.56 	-0.27 	0.48 	-0.88 	1.14 	-0.77 	
-0.21 	-1.10 	-1.25 	-0.90 	0.23 	-0.33 	-1.32 	1.63 	-1.59 	-1.50 	-0.02 	1.04 	1.94 	1.74 	
0.74 	-0.47 	1.00 	-0.53 	-0.82 	-1.07 	0.34 	-1.02 	-1.39 	0.93 	-1.50 	1.17 	-1.34 	0.98 	
matrixB
-1.70 	1.80 	-1.79 	0.09 	-1.30 	-1.04 	1.19 	0.93 	0.63 	1.87 	0.56 	1.04 	
-1.63 	-1.46 	0.08 	-1.69 	-1.72 	-1.18 	-0.15 	1.28 	0.29 	1.02 	-1.79 	-1.37 	
2.00 	-1.18 	1.56 	-1.50 	1.99 	-1.78 	1.48 	-1.71 	-1.98 	1.69 	0.38 	-1.28 	
-1.35 	-0.43 	1.65 	1.28 	-0.56 	0.21 	0.32 	-0.19 	0.75 	-1.60 	0.12 	1.03 	
-0.78 	1.97 	0.31 	1.51 	0.99 	0.52 	-1.86 	0.99 	1.33 	1.70 	1.49 	1.32 	
1.92 	0.98 	1.61 	1.93 	0.67 	-0.01 	-1.34 	1.32 	1.56 	-1.69 	0.60 	-1.01 	
0.52 	-1.08 	0.80 	-0.73 	-0.68 	-1.07 	-1.70 	0.53 	-1.11 	0.60 	0.04 	1.89 	
-0.88 	0.18 	0.88 	-1.55 	-0.11 	0.37 	1.78 	-0.20 	-0.65 	1.39 	-0.26 	-1.99 	
-0.62 	0.39 	1.33 	-1.06 	0.70 	-0.07 	-0.07 	-0.78 	0.85 	-1.27 	0.49 	-1.84 	
-0.34 	0.78 	0.70 	0.55 	-0.61 	-1.26 	0.44 	0.51 	0.92 	-0.69 	0.96 	-1.19 	
1.68 	0.74 	0.61 	-0.97 	0.13 	-1.65 	-0.96 	1.51 	0.74 	-1.63 	-1.55 	-0.55 	
0.31 	0.37 	0.67 	-0.84 	1.10 	-0.85 	-0.68 	-1.24 	1.94 	-1.99 	1.31 	-0.67 	
-1.25 	-0.25 	1.83 	1.68 	1.06 	0.80 	-1.52 	0.74 	-0.46 	1.10 	1.77 	1.67 	
1.45 	-1.19 	1.17 	0.19 	-0.81 	1.62 	1.64 	1.50 	-0.01 	0.30 	-1.35 	-0.90 	
